,sentence,sentiment
55,i wish i could see that interview,0
56,aray aray i m not thereee joke we missed you paaau,0
57,good i just dm d you but you may have just answered my question,1
58,omg i should be seeing attack attack today lt i love them aswel,0
59,change taylor swift this is song reminds me so much of th grade,0
60,i m gonna miss manno so much,0
61,got to postnet and didn t have the fax i needed hope the ac appt goes better,0
62,ok well i will be waiting,1
63,eh he entered before and got quite far tau anyway enjoy the auditions wish i m hosting,0
64,to close tonight then to tomorrow,0
65,dang its jonas day and i am lacking jonas stuff,0
66,im not ever gonna get that back am i its over for that where it fell no one can slip their hands there,0
67,paws people would like to join this anonymous donor trend we are more than happy to keep you anonymous,1
68,oh i won t they are both gems and i am truly blessed,1
69,i told ya about him the other day he sucks makes good sushi tho,1
70,southpark rules see you soon bye bye hun xoxo twitternation aliva,1
71,html for the site is finished just basic updates left and posting to further establish the plot and ds canon characters come join us,1
72,saying quot aww quot to my sweet cute little puppy snoozing in a ball on the couch and sadly having to leave that for an hour to do a dumb photo,1
73,workin till help iam so bored,0
74,make it even more fabtastic and come to boondocks tonight,1
75,i like thai food sticky rice,1
76,damn it i just lost the game,0
77,hoping honda can work their magic we have to get a bigger car the carseat doesnt fit in the civic,0
78,aaah busy nite huh who s da lucky man dnt worry i got abt hours too coincidentally n im fine zzzzzzzzzz,1
79,happy birthday you rock,1
80,i ve been watching quot music television quot and was rather disappointed at what i was seeing,0
81,i had a fully loaded hot dog with cheese fries and now feel very full however we ran out of bottles of water here,0
82,omg i got nominated for teen choice awards ahhh thank u so much i love u guys,1
83,you re a hypocrite toooo,1
84,hello i m in class you know i wanna hear the show but i cant,0
85,yea that is pretty scary shit i am glad it went smoothly for her and for you,0
86,i d rather be in shropshire any day,1
87,progress what s that hold on let me get the dictionary,1
88,its soooo nice out,1
89,passing game letting us down today,0
90,i m soon done with my new song it s about my first year in school have someone a good name to the song,1
91,today is my bday i m so happy for that i m now,1
92,there s nobody i love more than my dog rusty,1
93,you re pregnant,1
94,lovin life had a great weekend it s monday and it s gonna be a great week working but not to hard haha,1
95,want to go home but have to wait for everyone to be ready ugh i m gonna miss the hills,0
96,holy crap u go to vegas alot lucky you have a safe flight,1
97,hello and i see you are still awake,1
98,that nigga smokin a black wit somebody and ima need u not to curse at me it hurts my feelings,0
99,you make me so sad i don t know when i was supposed to call you so i didnt i m sorryyyyy but i ll do it later if you want,0
100,this is a weird place right on the airplane path i hope i ll be able to sleep,0
101,fuck it shit car tut i m not watching now,0
102,fuck i need to wee,0
103,i m giving my sis a show at my crib sunday she s an incredible jewelry designer but you ll be gone,0
104,time flies over us but leaves its shadow behind hawthorne and time flies fast sometimes,1
105,i need to get into pipeline,0
106,awww yay thanks,1
107,has this vid up and made me,0
108,morning i m still not in a great mood and manic great,0
109,wishing i had marvelous misadventures of flap jack on dvd,0
110,gr father s day present from eskom a power failure thankfully my roast chicken was cooked already,0
111,is missing someone now,0
112,still has a sore head,0
113,finals blew,0
114,i m going to have to unfollow you two you re giving me sparkly milkbrick shame,0
115,mom and grandmom just left apartment s empty again,0
116,you forgot all about me,0
117,i hope everyone who doesnt follow me get ass herpes and dies,1
118,just rescued a big spider from my room and as i let it go outside i got attacked by a big scary moth,0
119,o no wats the problem,0
120,ugh i need to move get out of this ghetto hick town and meet new people im sick of it here only more days cant wait,0
121,you were in indiana and i missed it nooooooooo,0
122,oh shit twitter i think i burned my hamburger helper,0
123,i think i can t watch the mtv movie awards but i ll try it and go twilight,0
124,too busy today to pay attention to the dreary depressing clouds amp rain forecast calls for sun on tuesday yay,0
125,looks like you could start a small business here i need a resume too i will get in line behind,1
126,i hear you i suffer that same shitty condition motion sickness is like the worst sickness to have for a gamer shitsux,0
127,ugh at work but damn tired didn t get my nap today,0
128,lol if i had a fifth of anything at the office things would get very interesting around here,1
129,yay i got a ics on my twitter about time,1
130,is k o d after last nites rave nt so much d drink as i was on water on da rocks bt mre so the lack of sleep before work hrs gritty,0
131,i dont think i can do anything today sorry,0
132,pourquoi tout  a ary i believed in love,0
133,i like most s pop yeah i like the safety dance lol and duran duran and aha i know pretty bad,1
134,seems as usual i missed quite a bit last nite d doesn t seem happy,0
135,ill have to work that day though,0
136,i cant twin im live like right now lets go people positive energy send me some lol,0
137,i m going to pick up jason from swimming and then get some ice cream with him,1
138,reporte mi primer bug para project aka fedoradirectoryserver bug libslapd is not linked with lrt,1
139,i m so sleepy but i can t sleep i have to watch my teleseryessss,0
140,just gave away his ipod touch atlease i know i made her happy love ya sis,0
141,is your dad taking you rofl it s lee lin chin sbs news lady lawl,0
142,ur on top of ur twitter game thanks hun like you i wish i updated more dig your writings as well sad news re octavia,0
143,watching whats new scooby doo its pretty great,1
144,damn it not smart enough they found it,0
145,home from work already today went fast,1
146,work soon i just want to naaap i m so sleepy come on thursday hurry up and get here,0
147,on a second side note the sox are absolutely dying out at fenway,0
148,folding recital programs at kinko s what a chore,0
149,okay the mtv movie awars is coming on i m rooting for vanessa hudgens but whoever wins i hope i like em,1
150,well kindergarten is like the th grade,1
151,i don t know what that means what is this conass,0
152,hypnotic is my friend,1
153,very sweet picture,1
154,i can never get enough of,1
155,trying to understand why i m here a friday in the night,0
156,going to earn some money cleaning at nannys,1
157,who knows i just noticed that when i tried to exit an app it wasn t working kept having to restart the dayum phone,0
158,ldnchikhas been reading up on a few religions and is thinking of converting i dont really undertand christianity no more,0
159,well then you gon have to stop w that quot idc quot shit just be faithful like points to em moi,1
160,omg twitter is so spammy right now search for reboot and you know what i mean rb,0
161,i wanna join wossybookclub,1
162,you could just fly back to sydney and use my internet,1
163,another rainy day oh well at least tomorrow is tgif,0
164,nice day today brill but got work,0
165,for goooood npnp typing that helped me study,1
166,i just have to wake up smell the break up fix my heart put on my make up and hes yet another mess i didnt plan,1
167,how was the movie the quotes kept me laughing,1
168,morning to all hope its a nicer day where you are compaired to here it s going to rain all day and the next days,0
169,watching avril vids on youtube miss when she used to be good and she reminds me of america so much,0
170,cant wait to go and watch hunter play some ball tonight,1
171,thanks to everyone who gave ff love yesterday yesterday was crazy busy but i do have mad love for ya ll,1
172,yeah i had the iphone for weeks but calls to at amp t s customer service was enough frustration for me to return it,0
173,the maine always make me happy,1
174,this day is taking a toll on me emotionally,0
175,leaving now back to america was was really sad to leave but things are heating up here and i should really go i don t belong,0
176,nuttynewswireman used geek squad badge to coerce sex news wtf didnt even fix my computer,0
177,man i need to get out havent been out for about weeks,0
178,really bad storm over here need to get to the mall soon i want the new moon movie poster and shirt,1
179,thanks hun that helps now how bout the soup lol,1
180,uugghhh i gotta clean but we got sidewalk so woohoo,0
181,funny of twitter users don t want to hear anyone have no one to talk to and have nothing to say,1
182,my elbow still hurts from wii boxing last night haha it s really sore lol,0
183,i have never seen robert this happy smiley dancey everyone loves vegas,1
184,oh my goshh my wisdom teeth hurt so bad i cant even eat cause it hurts so freakin bad,0
185,sweeet you have more time to do it then haha,1
186,adam won an award,1
187,i wanna photowalk today in star city who wants to model,1
188,and sam ok i m going soft,0
189,the channel is mtv because i look at mtv on my computer but there is not mtv movie awards help me pleaaase,0
190,is my new favorite person but i m jealous of her she lives in california,0
191,wolfram alpha for my birthday quot notable events for march no known major notable events quot what about me being born,0
192,i love stillwater and am going to miss it,0
193,i could give you a hug even though you dont like hugs amp you still didn t reply my text,0
194,done eating choco mucho yum yum love it,1
195,home and its raining,0
196,sorry to hear that at moments like that i don t miss living under the roof,0
197,uhmm so i have twitter na all alone hakot pa ko friends hehe,1
198,knowing that i passed astronomy just made me a little bit happier i thought i was doomed,0
199,had a great day at the zoo with my little man,1
200,yeah i went on there yesterday and wow has it changed i miss the good ole days before all the dramz amp ridiculousness,0
201,do u know if b is off to turkey at all i can t go now unless it s in turkey x cos we got houses their but here no want,0
202,heck yeah bullets is a reeeal oldie but goodie,1
203,quot woah summers you drive like a spazz quot band candy,1
204,yeah i m revising for textiles and science,0
205,myspace shouldn t have cut the staff they should have cut the spamming bands companies amp websites,0
206,going to watch some tv and then off to school til pm,0
207,movie night with liz one missed call a walk to remember and white chicks,1
208,looking forward to more followers who is going to be my follower to go,1
209,yeah sad times,0
210,goodmorning today s plans salon lunch dentist and where ever else we decide to go,0
211,this lame required driving class thing for hours,0
212,i will i see her we need to to make pixie a trending topic woman xxx,1
213,needs a twitter tutorial,0
214,my yr old just cut himself with a sharp knife i patched him up and let him continue,1
215,aight i m ghetto as hell my peeps is pissed cuz my southern rap is knockin hard this late ion t even care they be aight shoot lmao,1
216,coz they are too busy talking to me,1
217,imaginar o que show do mcfly com jb,0
218,should be here tomorrow good enough for me,1
219,has drunk way to much water l x,0
220,cuz dayaint no hockey til october,1
221,my other phone broke and i am using an old phone it takes crappy pics,0
222,i wrote you a testimonial on flickr hope that you like it,1
223,ooooo i got a call from odyssey fun,1
224,offline site is ready it ll be up and running online pretty soon,1
225,preparing my week agenda and look forward to a new and better horizon stay focus twitter headz,1
226,want much to go to the library mall to show support but am far too sick with you in spirit though rally starts pm,0
227,uhmm the internet was gone goodnight twitters,1
228,the weather is soooo beautiful,1
229,i love saturday mornings listening to on and sitting outside with coffee and some bing cherries,1
230,just read the book quot a child called it quot very sad but also inspirational,0
231,sweating like a nasty person cute guy behind me just left i was about to join him on the machine next to him,0
232,i ll have to tell creator to put in a proper mouth i m having to liquidify them and inject them loses the flavour,0
233,fun day today this sun is just amazing thank you god,1
234,please some kind of eta i m after goin over my gb cap with all the refreshing,0
235,oh i m just boring,0
236,i m really down today,0
237,you could have at least spelled my username right if you were going to insult me,0
238,yep the hawkesbury classic starts at windsor home of said dj,1
239,sleepy as hell no cupcaking tonight,0
240,hello and thx to new followers look forward to tweeting with ya,1
241,haha okay hands orange juice but i ran out of donuts,0
242,crap i feel like i quot m getting sick again and this second hand smoke isn t helping,0
243,home early tonight drunk msn,0
244,new mosdef nd details thanks,1
245,no it didn t i had to dl the live linux too sad day but the new hero build has the new homescreen rosie ui,0
246,i s sorry listen to some bats or gd as you do it dude i never got to tell you but bats were amazing lt,0
247,i know did u watch the pics i posted yesterday i went the beach,1
248,miss you yegua,0
249,lolol i always go myer but never see u,0
250,cassie has to work sad sad timessss,0
251,f kkkkk i went all the way the tattoo place amp it was closed,0
252,dear ryan please by quot paranoid quot by everyday on the radio times if you like love megan,1
253,a lot of merry making good food and lots of beer was had the night before by the beach,1
254,that s what i do movies in nyc,1
255,am sad and pissed off and my feet hurt and i want some chocolate,0
256,i picked up at lb woman at work over a year ago so been off since been a horrible year,0
257,yeah this happens in some churches as well,1
258,jamie is being such a jerk right now everyone text her and tell her to stop,0
259,off to do pilates now tweet y all soon,1
260,this is sad its saturday night and i m playin guess who so sad lol lt chinalatina gt,0
261,going to see the new star trek,1
262,dear lord packing up your room is no fun at all fml,0
263,and now i head home hoping something will happen later but past experience has taught me not to expect it,0
264,oh my god where ever i go traffic traffic traffic,0
265,i miss my dark hair,0
266,on my way home i got a free mocha at petes my grandparents are coming over for dinner my gma got a perm lol grandpa still really sick,0
267,i m very very tired im in baja for the off road race baja we just got back to the hotel and im dying but excited,0
268,dark outside already no sunshine today,0
269,that it is god s ministry and that they need to trust him and trust in god power acts,1
270,eh i won t be there tomorrow though only going on wednesday tomorrow got google hackathon,1
271,hmailserver is driving me crazy and now it s almost i have to wak up in hours,0
272,good day turned bad goin back to sleep hopefully i can sleep all the way till monday,0
273,i don t remember the last time i slept properly and i look like a ghost,0
274,yummy your title was misleading i thought it was a pic of you eating pizza lol,0
275,mmmmm s del taco is good,1
276,like for good btw maybe i can t dm you cos your updates r protected,0
277,those photons couldn t be emmited any slower,0
278,getting ready to go out hope theres here got to have my coffe,1
279,ha just read your second tweet where you used a food analogy also great minds think alike,1
280,just came back from my guitar lesson and bought the beatles complete chord songbook with all their songs to play on guitar i lt my mom,1
281,sorry bud that really sucks,0
282,i am scared of heights yet my sis in law got me do a killer high zipline i survived,1
283,has written a song for you its pretty amaazing,1
284,when i say far away i meant i threw away my copy,1
285,played guitar in my back yard serenaded neighbors with some beatle tunes while jack ran around catching moths simple things make me,1
286,ahh phish is trending some person wrote quot and wtf is phish quot psh good music that s what now i ll be humming myself to sleep,1
287,this is very much the sacking of rome throw another rock glenn let s see who it hits,1
288,just got home gonna watch some tv goodnight,1
289,is headache central today i am not well x,0
290,oh no all my own ip just three guys keen to make an app,1
291,whats up swizz havn t seen u in a while talked to tha l a few days ago yonkers famm seems to be doin aight,1
292,had an amazing weekend w my kenny and friends more to come tonight,1
293,woo sweet you made it,1
294,estarei com voc ,1
295,twitter seems mostly designed for spam now,0
296,ooooo be aware of the gardiner amp dvp closures if ur partying downtown tonight they close at am,0
297,down in the dumps today,0
298,umm i need me a sexy man to come be my prince sweep me off my feet take me to paradise,1
299,i love that this is in my head before i fall asleep post midnight cheese,1
300,back from a fun filled day of shopping,1
301,anytime they re a little salty but do the trick,1
302,anytime sweetie we still have some wine left come over anytime,1
303,back in cali mtv movie awards are tomorrow australia i miss you already,1
304,woke up at after another night without much sleep looks like i won t make it back to hackday,0
305,painting my nail,0
306,backstreetboys yay years happy backstreet aniversary we will always be here u mexico ktbspa,1
307,sweet thanks i need more tweets to read,1
308,fyi she s not real,0
309,to seconds left magic ball lol i know i m late,1
310,happy star wars day im going to make some pasta get showered and dressed and then watch some films i like days off i have days off,1
311,yard work sun burn to come,1
312,last year line for rio de janeiro gig tom,1
313,cause i go to a chinese school lol idk maybe they just want to waste time lol i mean we like go home at pm,0
314,only one more exam left damn i want it to be over,0
315,in mg again,0
316,youtube leo laporte blows up at mike arrington on the gillmor gang june m sees leo er en bra kar,1
317,on my way to school,1
318,lonely at the apt now that megan has moved out,0
319,love the weather and jessi,1
320,ughhh wishes she could watch the awards i hate math,0
321,okay so i m at work and i totally threw up,0
322,should be just landing this time tomorrow night whoooo,1
323,day three off of gym day three of drinking noticing a trend,0
324,sorry your knee hurts hope you feel better soon,1
325,unexpected trip to delaware gone till monday fuck my life,0
326,lt no mayercraft next year makes my exoticbeachfeet sad,0
327,am i weird for liking the smell of deep heat anyone else like it too,1
328,frightened rabbit are playing glasgow tomorrow night and i can t go boo,0
329,busted up my knee pretty badly doin ground moves excorcist steps will have to wait for my punk limping self to heal,0
330,the sun is beautiful laying out then sisters volleyball game,1
331,tired with a headache me no like sunshine,0
332,poor gorrrrrrdon,0
333,hi this is may from the fb group,1
334,the posts are kinda overwhelming,0
335,i heard iron man was one cool guy before his heart was pierced by some metal and he lost his ability to ever love again,0
336,just succesfully created a twitter account without knowing what the hell i do on it,1
337,awe thats so cool,1
338,getting up the duff with slipstream silliness won t stop you writing yours i hope,1
339,comcast might just have to bite me,1
340,is on a jimmy buffett high,1
341,grrr it didnt take that long for me to dl silly sony,0
342,love that you grouped me with paula abdul as we both attended the same high school not at the same time,1
343,at the laugh defensive driving school with rubin best defensive driving course ever awesome that rubin and i are taking it together,1
344,i insist please come to chile is next argentina look a mapamundi please we are waiting for you guys,0
345,otw to senayan city,1
346,just got a rejection letter for a job i didn t expect to get or even really want and yet i am still bummed,0
347,couldn t be any happier that summer break is extended up to the th haha i miss b though,0
348,thk happy to know that i m not alone,1
349,hi tony how are you nice to see you today,1
350,so i m guessing you re not coming tonight,0
351,we are invited to the nokia n bloggers meet at blore woohoo,1
352,heh yeah its been a weird collection of movies this weekend,1
353,its fiesta tomo have to sleep early and prepare for the celebr n,1
354,later world off to the land of no internet aka my house,0
355,nice work well done,1
356,you re welcome just had a read thru yr tweets wow anyone interested fashion branding followfriday,1
357,you are welcome x,1
358,facebook my default language arabic clicked it by mistake figuring out how to change it back to english,0
359,my body says nooooo but my wallet says yessssssss,0
360,i understand i m watching true blood,1
361,i know it s taken me some time to not do things i am likely to regret come morning,1
362,messing around withh my friends macbook pro i don t want to put it downn haha,0
363,building a fanbase check out my blog at leave a comment if you have a spare minute,1
364,alzheimer grandma is depressing,0
365,now you know my secret,1
366,i probly have malaria now from all the misquito bites,0
367,oops to x quot ass quot p   n tweet,0
368,amusement haha never thought of dating sites as comedy show,1
369,and we seriously love you thank you for continuing to shop with us,1
370,is in the new place who wants to visit,1
371,aahhhhhhhhhhhhhhhhhhhhh horror movies,0
372,woke up on the boat again,1
373,yesterday was a day of beach bumming and beer today i make up for it in shipping hell then more bumming tonight,1
374,unfortunately no,0
375,man i am sucha dork deer not dear i really do know who to spell just not when i need to,0
376,lol it s overcast but otherwise ok i m tired but otherwise ok,1
377,and man did i ever want to buy that leather jacket yesterday,0
378,and still has and she cannot find it as she is lazy i cant get a provisional as i need a passport and now i cant go out cause no id,0
379,woke up about minutes ago really tired have to go to school in about minutes for english exam,0
380,fun next time we ll really go out and party it up within reason,1
381,no im reading it nowww lol,1
382,just got off work at tired relaxing to espn lol,1
383,yeh for work have a launch thing were doing leave tomoro morning at am i hate flying,1
384,late night at work on thurs paid off just won a huge new launch of a microsoft program related to the release of bing happy friday,1
385,too much bud last night lol gym time but not feeling like going,0
386,i feel u waste of time i give up too,0
387,wating hcg the wait seems to be endless,0
388,waitin for the doctor my throat hurts,0
389,in reference to rocknrolla of course ,1
390,jc superstar ah memories of grade english class yes i am that old,0
391,i can t believe you get sooo hooked in lost at first i was lost watching lost but now i find it easy,1
392,quot rainy days and mondays always get me down quot it s a rainy first day at camp lyc tired and wet but still smiling,1
393,thanks madam you re lucky coz you had a wonderful dog and sooo cute,1
394,mom has elton john playing so loud that the windows are shaking via,1
395,bored just had a sausage in bread it was amazing,1
396,s kinda bummed an agency just told me that i didn t have the look that they were going for ladies please help me create the look,0
397,guess i ll take a shower now,0
398,i miss inah ricafooooort,0
399,woke up with some anxiety about not spending his nights with for over two weeks,0
400,nite twitter world didnt get c my boo but twm is another day,0
401,it s your beyonce week this week so must be a great one huh,1
402,i cannot plurk in plurk hahaha lol,0
403,i miss youu i wish i was there,0
404,it s turned into a migraine hurts to look at this screen,0
405,i am soo tired sigh,0
406,psa anyone that wants me to listen to their music please email me the mp or link to tonicabrera cuz i lose the links on here,1
407,penelope is one of my all time fave movie right now all i want to do is go home and snuggle up and watch it instead im freezing at work,0
408,i am full of gyan today will keep coming up with more such profound truths,1
409,i like the preview when he little guys says quot aww i m a momma quot ha ha,1
410,next up voting slim chance for change but a tweep s gotta do what a tweep s gotta do,0
411,is amazingly up pretty early lol,1
412,it would keep other cats away,1
413,not even am amp i already have a headache can i get worker s comp,0
414,sunny california weather chinatown community dev center san francisco ca photo,1
415,on the computer alllllllllllllllll day,1
416,motion city sountrack playing at the white house for xmas that s guna b siiiiick i would totally go if it wasnt invite only,0
417,this sure sucks but we ll just have to hope that they will continue,1
418,i m so sorry i have trousers amp c hanging from every place clothing can be hung in here all dripping away how was it,0
419,do it bit like queen but on a bigger scale look for the song knights of cydonia live at wembley,1
420,btw i feel semi awkward going up to people to say hi especially when they re famously famous industry peepz,0
421,having a most productive day and fridays aren t usually my most productive days,1
422,waiting for friend to come fix my alternator i mean still waiting for my friend to come fix my alternator,0
423,almost to my parents house in tn when i get there i have to do school work,0
424,i dont understand i didnt mean to break anyones heart,0
425,is pretttty cool,1
426,really i would like some doo da doo in my life cuz atm im feeling not so doot da doo do share sum of the sunshine pls,1
427,whas good hun just showing some fellow cali luv your way,1
428,i hate coursework the tempest shut up,0
429,wants the big man tevez stay at united seein him get subbed yesterday makes me feel upset,0
430,have a cold lt not fun,0
431,great site to get free stuff in your free time sign up,1
432,awww cute what breed i had horses many years too expensive now,0
433,saveearl why they cancelling it i love that show,0
434,thanks much watching the new moon trailer ryanseacrest com xoxo,1
435,but i m very mad that at the end when u guys were talking to the mc she stood right in front of u i couldn t see ur face gt lt,0
436,i had my card details cloned this last week co op caught it before anything was spent good people,1
437,sleeeppppy going to a mall sometime i dunno i miss my baby and am sick of this drama days of school,0
438,watchin hannah montana hoping it will rain,1
439,fine we get it we ll get outa your car the next time you wanna try to school a s k,0
440,won two tickets to the movies on rock this morning date night with this weekend,1
441,but the picanic basket aawwwww,0
442,liz wendling had too much fun today sleep,1
443,lucky i miss when they had of those here,0
444,ha not going to bed too many people wanna talk damn i really need some followers,0
445,it s srsly unfair how many more knitting books there are compared to crochet,0
446,very indeed,0
447,you will love love love hamburg go and take a walk around the quot alster quot weather is beautiful,1
448,i miss shelby,0
449,we hit yesterday it gets the point where you just peek from a window and say quot wow it looks hot out there quot lol,0
450,went to the safeway and bought some delicious ice cream degree weather can suck it,1
451,same to you mate wasn t me on the ps as one of the few consoles i ve never owned,1
452,just gonna smile cuz it is what it is and im not sure what more they could want,1
453,half lol but i m going to dallas,0
454,lmao my mum just asked me what i thought of her new top i told her it was hidious cause it is and she in a huff now,0
455,hey everyone i m in a good mood today xd probibly i m not in my crap hole of a school,1
456,watching hells kitchen hulu detected i was using hotspot shield it no longer works in canada,0
457,yeah well you know it doesn t say much about quality so hey,1
458,awesome podcast thankyou for the really great coverage during e keep it up,1
459,first coke in a week aaaand my tum hurts already guess i can t drink them anymore,0
460,i m not gonna lie this one is way better,1
461,you better brush your stuff,1
462,i have the fluuuuu i wanna throw up soup,0
463,efy is over imma going to miss john scott and stephanie,0
464,i m not gonna lie i m going to watch the mtv awards because i love em but i m not going to tweet about them do i look like an idiot,1
465,who else also watches the teletoon retro channel  cause i do,1
466,no rain here waiting for rain,0
467,are you at mesh whats happening keep us in the loop,1
468,just got home from working at a car show for a amp w and man its been a long day sooo tired now another one coming augast st as well,0
469,good to see you on here was sad he didn t see you at jck as well as me,1
470,i dig it,1
471,ugh i have to go to colorado i dont wanna go anyways gotta get ready tty in weeks,0
472,you were absolutely amazing on the show props,1
473,hoyeah text me then i want to see more adam as fiyero and then lahat na ng copies mo ng wicked isa isahin ko na,1
474,lucky you what did you get better than me whose stuck at home bored to tears have fun xoxox,0
475,just had and awesome dream about larping it was awesome lots of fun,1
476,i dont feel vewy well,0
477,home and finally relaxing i love my comfy couch,1
478,found some fruit woohoo healthy living,1
479,pics movie of the stony brook pediatrics residents vs attendings volleyball game attendings won to,0
480,yea w e,0
481,and added it to his collection i was too much of a punk bitch to ask for it back,0
482,at the ups store shipping a piece of my childhood that i sold on cl,0
483,all is well memphis was good mcshane hanging in there missing hubby bb soon,0
484,shoe shopping day with laura mission find ivory wedding shoes and i hope to find some other shoes of my own,1
485,i promise this is my last shoppinday in this month ok except the steve madden sale from at all,0
486,still panera studying for quot mock quot board exams tomorrow so tired,0
487,german charts this wek new at quot stairway to heaven quot by led zepelin new on quot i was made for loving you quot by kiss huh,1
488,well im on twittts long time no talk im in atlanta now not toronto hit me soon,1
489,nah i haven t got that desperate yet,0
490,it would be but mom said no i have no one to go with i ll have to wait,0
491,aww it s okay laalaa i still love you,1
492,aaaaaaaaaaaa cant wait to go home and crash my chest hurts every time i sneeze or cough headache and potential fever boooo,0
493,aww that is so sweet lol i can t wait im sorry but i have go wish me luck on my speaking exam in english morrow,1
494,happy that after nearly a year of craving f finally found some carvel strawberry shortcake cake,1
495,quot april snow showers kill may flowers quot,0
496,i should just keep refreshing your page waiting for the next twitpic,1
497,van needs to go back monday not fixed right luv my new phone dark clean puke looks lk i know what i ll b doin mothers day lol,0
498,laundry pick up day haha i love it,1
499,its ashley s birthday,1
500,new week new shows peter doherty amp justin nozuka,1
501,it sucks being so far away i d do anything to have your company,0
502,omg my lips are so chapped,0
503,the best memory jus popped in my head amp made me smile i heart erm,1
504,i have to be up at am one of you californians should probably call and wake me you ll still be up anyway lt,0
505,sa sobrang antok pba_create_pba_building nai type ko instead na pba_create_billing_guarantor hays heavey eyes,0
506,and here i was worried about the meat i bought that was off better off digging through dumpsters almost hello homelessness,0
507,only a half bottle you can do better than that,1
508,you said you effed up your nose,0
509,would be nice to see another vettel win but either way i won t see it cos about to go out now,0
510,let see its friday that s a plus it rained so the bike stayd home that s a minus so far for the day its even,0
511,up at am on a sunday raining like crazy thunder and lightening best theme park day ever,0
512,waiting for my day to begin,1
513,what a bar crawl birds chirping its time for some rest good night friends we will be in touch soon,1
514,hot and stormy in chicago today,0
515,ff atguably my favorite citizen of the united kingdom bones by radiohead on grooveshark,1
516,girl you re crazy i love you hahaha and i got yo lp chap,1
517,the ocean was calling me so i walked over and found dolphins playing and jumping around,1
518,mermaids are almost extinct and should not be kept in captivity and that s disney s fault or so i heard,1
519,this time difference is crazy you re so lucky haha full day of school for me london sucks,0
520,goodnight goodnight i hope you sleep a sweet dream tonight,1
521,rant about seo much,1
522,lol it was,1
523,aww i love that film haha can i come watch it too xx,1
524,bet you re loving the up front surcharge on parking tickets now so not hot,0
525,deadlines,0
526,just woke up pink diamonds from then birthday sex from my head is killin me but it was so worth it,0
527,my mom said she s going to wake me up am tomorrow,0
528,didn t get to go to the beach still had a super fun drama less weekend who would have guessed,0
529,yay i can tweet again twitter had me on punishment yall,0
530,duh i think its hilarious flattered you inspired us to write this song,1
531,i voted for you guys hope you come to warpeddd,1
532,oh an old friend is bad with me why i love her s,0
533,only minutes left then its break and french then maths joyy,1
